"Date","Price","Open","High","Low","Change %"
"Aug 09, 2019","70.924","70.443","70.924","70.443","0.72%"
"Aug 08, 2019","70.420","71.170","71.170","70.420","-1.02%"
"Aug 07, 2019","71.145","70.965","71.195","70.604","0.15%"
"Aug 06, 2019","71.040","70.810","71.040","70.470","0.31%"
"Aug 05, 2019","70.821","70.117","70.839","70.117","1.61%"
"Aug 02, 2019","69.700","69.230","69.700","69.210","0.99%"
"Aug 01, 2019","69.017","69.267","69.267","69.002","0.21%"
"Jul 31, 2019","68.875","68.853","68.960","68.761","0.02%"
"Jul 30, 2019","68.862","68.766","68.903","68.663","0.16%"
"Jul 29, 2019","68.755","68.900","68.965","68.705","-0.18%"
"Jul 26, 2019","68.880","69.151","69.151","68.816","-0.23%"
"Jul 25, 2019","69.041","68.992","69.078","68.885","0.09%"
"Jul 24, 2019","68.980","69.020","69.109","68.921","-0.08%"
"Jul 23, 2019","69.033","68.944","69.059","68.903","0.15%"
"Jul 22, 2019","68.930","68.955","69.070","68.880","0.10%"
"Jul 19, 2019","68.860","68.810","68.955","68.722","0.01%"
"Jul 18, 2019","68.855","68.773","69.005","68.718","0.01%"
"Jul 17, 2019","68.846","68.688","68.904","68.640","0.29%"
"Jul 16, 2019","68.650","68.540","68.770","68.521","0.15%"
"Jul 15, 2019","68.545","68.535","68.615","68.477","-0.02%"
"Jul 12, 2019","68.560","68.460","68.695","68.433","0.22%"
"Jul 11, 2019","68.410","68.414","68.495","68.280","-0.01%"
"Jul 10, 2019","68.419","68.620","68.695","68.318","-0.21%"
"Jul 09, 2019","68.565","68.665","68.858","68.513","-0.00%"
"Jul 08, 2019","68.567","68.582","68.767","68.497","0.17%"
"Jul 05, 2019","68.450","68.539","68.785","68.385","-0.11%"
"Jul 04, 2019","68.527","68.817","68.914","68.489","-0.40%"
"Jul 03, 2019","68.800","68.885","68.963","68.795","-0.13%"
"Jul 02, 2019","68.890","68.924","69.075","68.870","0.01%"
"Jul 01, 2019","68.885","68.944","69.090","68.830","-0.09%"
"Jun 30, 2019","68.951","68.950","68.951","68.950","0.00%"
"Jun 28, 2019","68.950","69.048","69.125","68.866","-0.20%"
"Jun 27, 2019","69.088","69.210","69.353","69.030","-0.23%"
"Jun 26, 2019","69.245","69.320","69.518","69.110","-0.13%"
"Jun 25, 2019","69.334","69.266","69.439","69.238","0.09%"
"Jun 24, 2019","69.273","69.629","69.630","69.264","-0.44%"
"Jun 23, 2019","69.580","69.580","69.580","69.580","-0.05%"
"Jun 21, 2019","69.615","69.755","69.760","69.504","0.14%"
"Jun 20, 2019","69.520","69.490","69.675","69.334","-0.19%"
"Jun 19, 2019","69.650","69.550","69.808","69.500","0.06%"
"Jun 18, 2019","69.610","69.868","69.891","69.609","-0.34%"
"Jun 17, 2019","69.850","69.810","69.982","69.740","0.10%"
"Jun 16, 2019","69.781","69.834","69.834","69.781","-0.08%"
"Jun 14, 2019","69.833","69.566","69.865","69.530","0.43%"
"Jun 13, 2019","69.531","69.379","69.580","69.314","0.22%"
"Jun 12, 2019","69.375","69.414","69.455","69.257","-0.01%"
"Jun 11, 2019","69.385","69.534","69.534","69.342","-0.22%"
"Jun 10, 2019","69.535","69.375","69.685","69.375","0.26%"
"Jun 09, 2019","69.355","69.390","69.390","69.355","0.00%"
"Jun 07, 2019","69.355","69.146","69.551","69.114","0.27%"
"Jun 06, 2019","69.165","69.405","69.460","69.165","-0.32%"
"Jun 05, 2019","69.385","69.334","69.423","69.178","0.14%"
"Jun 04, 2019","69.291","69.068","69.343","69.033","0.17%"
"Jun 03, 2019","69.171","69.618","69.622","69.128","-0.59%"
"Jun 02, 2019","69.580","69.580","69.580","69.580","0.00%"
"May 31, 2019","69.580","69.839","69.927","69.580","-0.35%"
"May 30, 2019","69.825","69.835","69.935","69.703","-0.03%"
"May 29, 2019","69.845","69.587","70.003","69.579","0.34%"
"May 28, 2019","69.610","69.516","69.755","69.516","0.15%"
"May 27, 2019","69.504","69.412","69.633","69.362","0.19%"
"May 26, 2019","69.370","69.370","69.370","69.370","-0.01%"
"May 24, 2019","69.380","69.699","69.811","69.377","-0.41%"
"May 23, 2019","69.665","69.666","70.065","69.375","0.02%"
"May 22, 2019","69.650","69.668","69.811","69.614","0.01%"
"May 21, 2019","69.645","69.817","69.825","69.620","0.05%"
"May 20, 2019","69.609","69.405","69.778","69.373","-0.97%"
"May 19, 2019","70.291","70.348","70.348","70.291","0.02%"
"May 17, 2019","70.280","70.220","70.288","70.067","0.21%"
"May 16, 2019","70.130","70.219","70.342","69.966","-0.17%"
"May 15, 2019","70.249","70.322","70.442","70.174","-0.12%"
"May 14, 2019","70.332","70.596","70.616","70.252","-0.34%"
"May 13, 2019","70.570","70.015","70.651","69.984","0.91%"
"May 12, 2019","69.933","69.933","69.933","69.933","-0.12%"
"May 10, 2019","70.015","70.091","70.114","69.756","-0.26%"
"May 09, 2019","70.200","69.719","70.276","69.719","0.69%"
"May 08, 2019","69.720","69.596","69.751","69.448","0.11%"
"May 07, 2019","69.645","69.421","69.646","69.285","0.38%"
"May 06, 2019","69.380","69.310","69.485","69.310","0.29%"
"May 05, 2019","69.178","69.178","69.178","69.178","0.12%"
"May 03, 2019","69.096","69.436","69.441","69.096","-0.45%"
"May 02, 2019","69.410","69.620","69.634","69.320","-0.19%"
"May 01, 2019","69.545","69.601","69.603","69.466","-0.15%"
"Apr 30, 2019","69.647","69.831","69.913","69.536","-0.24%"
"Apr 29, 2019","69.817","69.879","69.895","69.796","-0.05%"
"Apr 28, 2019","69.852","69.851","69.852","69.851","0.00%"
"Apr 26, 2019","69.850","70.173","70.247","69.810","-0.46%"
"Apr 25, 2019","70.170","70.010","70.335","69.920","0.30%"
"Apr 24, 2019","69.960","69.779","70.000","69.763","0.27%"
"Apr 23, 2019","69.770","69.630","69.840","69.540","0.10%"
"Apr 22, 2019","69.700","69.366","69.906","69.366","0.48%"
"Apr 21, 2019","69.370","69.390","69.390","69.370","-0.05%"
"Apr 19, 2019","69.407","69.416","69.429","69.355","0.02%"
"Apr 18, 2019","69.395","69.417","69.619","69.330","-0.05%"
"Apr 17, 2019","69.431","69.547","69.570","69.362","-0.14%"
"Apr 16, 2019","69.530","69.422","69.690","69.422","0.19%"
"Apr 15, 2019","69.395","69.174","69.483","69.045","0.32%"
"Apr 14, 2019","69.171","69.171","69.171","69.171","-0.03%"
"Apr 12, 2019","69.190","69.030","69.390","69.030","0.25%"
"Apr 11, 2019","69.020","69.164","69.222","68.837","-0.19%"
"Apr 10, 2019","69.150","69.258","69.366","69.090","-0.19%"
"Apr 09, 2019","69.280","69.538","69.740","69.248","-0.40%"
"Apr 08, 2019","69.555","69.335","69.720","69.335","0.56%"
"Apr 07, 2019","69.170","69.231","69.231","69.170","0.00%"
"Apr 05, 2019","69.170","68.992","69.338","68.986","0.28%"
"Apr 04, 2019","68.980","68.540","69.220","68.520","0.77%"
"Apr 03, 2019","68.450","68.730","68.835","68.390","-0.68%"
"Apr 02, 2019","68.920","69.280","69.390","68.720","-0.41%"
"Apr 01, 2019","69.205","69.356","69.424","69.185","-0.34%"
"Mar 31, 2019","69.440","69.440","69.440","69.440","0.37%"
"Mar 29, 2019","69.185","69.178","69.320","69.042","-0.01%"
"Mar 28, 2019","69.190","69.124","69.380","68.950","0.13%"
"Mar 27, 2019","69.100","69.039","69.187","68.780","0.15%"
"Mar 26, 2019","68.996","68.931","69.017","68.778","0.15%"
"Mar 25, 2019","68.890","69.159","69.176","68.795","-0.41%"
"Mar 24, 2019","69.171","69.171","69.171","69.171","0.00%"
"Mar 22, 2019","69.170","68.650","69.170","68.540","0.52%"
"Mar 21, 2019","68.810","68.565","68.810","68.510","0.03%"
"Mar 20, 2019","68.790","69.027","69.176","68.731","-0.33%"
"Mar 19, 2019","69.015","68.619","69.067","68.350","0.57%"
"Mar 18, 2019","68.625","68.959","68.959","68.431","-0.49%"
"Mar 17, 2019","68.963","68.963","68.963","68.963","0.00%"
"Mar 15, 2019","68.963","69.357","69.372","68.935","-0.58%"
"Mar 14, 2019","69.365","69.525","69.755","69.255","-0.24%"
"Mar 13, 2019","69.529","69.607","69.794","69.419","-0.14%"
"Mar 12, 2019","69.625","69.821","69.821","69.491","-0.32%"
"Mar 11, 2019","69.850","70.028","70.041","69.808","-0.21%"
"Mar 10, 2019","69.997","70.011","70.011","69.997","-0.02%"
"Mar 08, 2019","70.011","70.111","70.246","69.826","-0.15%"
"Mar 07, 2019","70.116","70.151","70.152","69.950","0.05%"
"Mar 06, 2019","70.080","70.479","70.692","70.022","-0.58%"
"Mar 05, 2019","70.490","70.963","70.975","70.448","-0.59%"
"Mar 04, 2019","70.910","70.815","70.923","70.800","-0.13%"
"Mar 03, 2019","71.000","71.000","71.000","71.000","0.00%"
"Mar 01, 2019","71.000","70.811","71.000","70.715","0.23%"
"Feb 28, 2019","70.840","71.231","71.271","70.713","-0.51%"
"Feb 27, 2019","71.200","71.010","71.491","70.929","0.34%"
"Feb 26, 2019","70.960","70.829","71.346","70.809","0.18%"
"Feb 25, 2019","70.835","71.034","71.103","70.826","-0.29%"
"Feb 24, 2019","71.041","71.035","71.041","71.035","0.01%"
"Feb 22, 2019","71.035","71.195","71.265","71.035","-0.18%"
"Feb 21, 2019","71.165","71.061","71.280","70.925","0.22%"
"Feb 20, 2019","71.010","71.320","71.344","70.933","-0.41%"
"Feb 19, 2019","71.300","71.351","71.602","71.251","-0.12%"
"Feb 18, 2019","71.386","71.335","71.537","71.326","0.08%"
"Feb 17, 2019","71.330","71.330","71.330","71.330","0.00%"
"Feb 15, 2019","71.330","71.028","71.464","71.028","0.44%"
